phone,name,account,notes
605-948-2252,"Hoven School District, SD","Hoven School District, SD","Hoven, South Dakota | Education: Lower Education | www.hoven.k12.sd.us"
5635472620,Howard County,Howard County,"Cresco, Iowa | Government: Local | https://howardcounty.iowa.gov/"
13087544457,Howard Greeley Rural Public Power,Howard Greeley Rural Public Power,"Saint Paul, Nebraska | Utilities | howardgreeleyrppd.com"
+1.605.772.4676,"Howard School District 48-3, SD","Howard School District 48-3, SD","Howard, South Dakota | Education: Lower Education | www.howard.k12.sd.us"
+1.641.864.2211,"Hubbard-Radcliffe Community School District, IA","Hubbard-Radcliffe Community School District, IA","Hubbard, Iowa | Education: Lower Education | http://www.hubbard.k12.ia.us"
605 395 7497,"Hutterville School, SD","Hutterville School, SD","Stratford, South Dakota | Education: Lower Education"
+1.515.597.2562,"Huxley, IA","Huxley, IA","Huxley, Iowa | Government: Local | www.huxleyiowa.org"
+1.605.852.2519,"Hyde County, SD","Hyde County, SD","Highmore, South Dakota | Government: Local | www.hydeoutbnb.com"
7123642533,Ida County,Ida County,"Ida Grove, Iowa | Government: Local | https://idacounty.org/"
+1.712.364.2428,"Ida Grove, IA","Ida Grove, IA","Ida Grove, Iowa | Government: Local | www.idagroveia.com"
3193347110,Independence,Independence,"Independence, Iowa | Government: Local | https://www.independenceia.org/"
515-331-8000,"Iowa AEYC, IA","Iowa AEYC, IA","Des Moines, Iowa | Education | www.iowaaeyc.org"
5152477061,"Iowa Association of School Boards, IA","Iowa Association of School Boards, IA","Des Moines, Iowa | Education | www.ia-sb.org"
3196423041,Iowa County,Iowa County,"Marengo, Iowa | Government: Local | https://iowacounty.iowa.gov/"
(319) 462-3504,"Iowa Prison Industries, IA","Iowa Prison Industries, IA","Anamosa, Iowa | Printing & Publishing | www.iaprisonind.com"
+1.515.278.9939,"Iowa School of Beauty-Des Moines, IA","Iowa School of Beauty-Des Moines, IA","Des Moines, Iowa | Education: Higher Education | iowaschoolofbeauty.com"
+16417524223,"Iowa School of Beauty-Marshalltown, IA","Iowa School of Beauty-Marshalltown, IA","Marshalltown, Iowa | Education: Higher Education | iowaschoolofbeauty.com"
+1.641.684.6504,"Iowa School of Beauty-Ottumwa, IA","Iowa School of Beauty-Ottumwa, IA","Ottumwa, Iowa | Education: Higher Education | iowaschoolofbeauty.com"
+1.712.274.9733,"Iowa School of Beauty-Sioux City, IA","Iowa School of Beauty-Sioux City, IA","Sioux City, Iowa | Education: Higher Education | iowaschoolofbeauty.com"
605.426.6561,Ipswich Public School District (SD) -ISD 22-6,Ipswich Public School District (SD) -ISD 22-6,"Ipswich, South Dakota | Education: Lower Education | www.ipswich.k12.sd.us"
+1.605.263.3311,"Irene - Wakonda School District 13-3, SD","Irene - Wakonda School District 13-3, SD","Irene, South Dakota | Education: Lower Education | www.irene-wakonda.k12.sd.us"
+1.605.546.2210,"Iroquois School District 02-3, SD","Iroquois School District 02-3, SD","Iroquois, South Dakota | Education: Lower Education | www.iroquois.k12.sd.us"
605-837-2689,"Jackson County Library, SD","Jackson County Library, SD","Kadoka, South Dakota | Education | www.jacksoncolib.wordpress.com"
402-729-2284,"Jefferson County Sheriffs Office, NE","Jefferson County Sheriffs Office, NE","Fairbury, Nebraska | Government: Local | www.jeffcolaw.us"
5153868029,Jefferson Park & Rec,Jefferson Park & Rec,"Jefferson, Iowa | Recreation | https://gccc.activityreg.com/ClientPage_t2.wcs"
+1.308.832.2648,"Jensen Memorial Library, NE","Jensen Memorial Library, NE","Minden, Nebraska | Government: Local | libraries.ne.gov/jensen/"
+1.319.827.1522,"Jesup, IA","Jesup, IA","Jesup, Iowa | Government: Local | www.jesupiowa.com"
4023356300,Johnson County,Johnson County,"Tecumseh, Nebraska | Government: Local | https://johnsoncounty.ne.gov/"
14023871120,K B R Rural Public Power District,K B R Rural Public Power District,"Ainsworth, Nebraska | Utilities | kbrpower.com"
(605) 837-2175,Kadoka Area School District (SD) ISD - 35-1,Kadoka Area School District (SD) ISD - 35-1,"Kadoka, South Dakota | Education: Lower Education | www.kadoka.k12.sd.us"
+1.319.656.2371,"Kalona, IA","Kalona, IA","Kalona, Iowa | Government: Local | www.washingtonco.lib.ia.us"
+16416223390,Keokuk County,Keokuk County,"Sigourney, Iowa | Government: Local | keokukcounty.iowa.gov/"
+1.641.622.2720,"Keokuk County Health Center, IA","Keokuk County Health Center, IA","Sigourney, Iowa | Hospitals | www.keokukhealth.com/"
+1.319.293.3536,"Keosauqua, IA","Keosauqua, IA","Keosauqua, Iowa | Government: Local | www.keosauqua.com"
+1.402.731.6988,"Kids Can! Community Center, NE","Kids Can! Community Center, NE","Omaha, Nebraska | Business Services | www.socialsettlement.org"
+1.605.221.3100,"Kilian Community College, SD","Kilian Community College, SD","Sioux Falls, South Dakota | Education: Higher Education | www.kilian.edu"
3082352241,"Kimball County, NE","Kimball County, NE","Kimball, Nebraska | Government: Local | www.kimballcountyne.gov/"
+1.605.778.6231,"Kimball School District 07-2, SD","Kimball School District 07-2, SD","Kimball, South Dakota | Education: Lower Education | www.kimball.k12.sd.us"
+1.605.854.3832,"Kingsbury County, SD","Kingsbury County, SD","Lake Preston, South Dakota | Government: Local | kingsbury.sdcounties.org/"
+1.319.346.2442,"Kothe Memorial Library,IA","Kothe Memorial Library,IA","Parkersburg, Iowa | Government: Local | www.parkersburgia.com/community-residential/public-library/"
+1.641.424.2161,"La James College of Hairstyling and Cosmetology, IA","La James College of Hairstyling and Cosmetology, IA","Mason City, Iowa | Education: Higher Education | www.lajames.com"
+1.563.441.7900,"La James International College-Davenport, IA","La James International College-Davenport, IA","Davenport, Iowa | Education: Higher Education | www.ljic.edu"
+1.515.576.3119,"La James International College-Ft Dodge, IA","La James International College-Ft Dodge, IA","Fort Dodge, Iowa | Education: Higher Education | www.ljic.edu"
+1.319.338.3926,"La James International College-Iowa City, IA","La James International College-Iowa City, IA","Iowa City, Iowa | Education: Higher Education"
+1.515.278.2208,"La James International College-Johnston, IA","La James International College-Johnston, IA","Johnston, Iowa | Education: Higher Education | www.ljic.edu"
+1.319.342.3396,"La Porte City, IA","La Porte City, IA","La Porte City, Iowa | Government: Local | www.lpcia.com"
+1.712.832.3527,"Lake Park, IA","Lake Park, IA","Lake Park, Iowa | Government: Local | www.lakeparkia.com"
605-847-4455,"Lake Preston School District, SD","Lake Preston School District, SD","Lake Preston, South Dakota | Education: Lower Education | www.lakepreston.k12.sd.us"
+1.712.657.2634,"Lake View, IA","Lake View, IA","Lake View, Iowa | Government: Local | www.lakeviewlifestyle.com/"
605.493.6454,"Langford School District, SD","Langford School District, SD","Langford, South Dakota | Education: Lower Education | www.langford.k12.sd.us"
+1.605.584.1401,"Lead, SD","Lead, SD","Lead, South Dakota | Government: Local | www.spearfishlaw.com"
+1.605.717.3890,"Lead-Deadwood School District 40-1, SD","Lead-Deadwood School District 40-1, SD","Lead, South Dakota | Education: Lower Education | www.lead-deadwood.k12.sd.us/"
4024762829,"League of Nebraska Municipalities, NE","League of Nebraska Municipalities, NE","Lincoln, Nebraska | Nonprofit | www.lonm.org"
6053743762,"Lemmon School, SD","Lemmon School, SD","Lemmon, South Dakota | Education: Lower Education | www.lemmon.k12.sd.us"
+1.605.647.2203,"Lennox School District 41-4, SD","Lennox School District 41-4, SD","Lennox, South Dakota | Education: Lower Education | www.lennox.k12.sd.us"
+1.605.647.2286,"Lennox, SD","Lennox, SD","Lennox, South Dakota | Government: Local | www.cityoflennoxsd.com"
(641) 333-2550,"Lenox Municipal Utilities, IA","Lenox Municipal Utilities, IA","Lenox, Iowa | Government | www.lenoxutilities.com/"
605-439-3383,"Leola Public Library, SD","Leola Public Library, SD","Leola, South Dakota | Education | www.leolasd.com"
+1.605.439.3143,"Leola School District 44-2, SD","Leola School District 44-2, SD","Leola, South Dakota | Education: Lower Education | www.deuel.k12.sd.us"
+1.641.446.4516,"Leon, IA","Leon, IA","Leon, Iowa | Government: Local | www.leoniowa.org"
308-377-2301,"Leyton Public Schools, NE","Leyton Public Schools, NE","Dalton, Nebraska | Education: Lower Education | www.leytonwarriors.org"
+14025862454,Lied Lincoln Township Library,Lied Lincoln Township Library,"Wausa, Nebraska | Education | libraries.ne.gov/wausalibrary/"
(712) 542-2416,"Lied Public Library - Clarinda, IA","Lied Public Library - Clarinda, IA","Clarinda, Iowa | Education | www.bestiowatown.com"
712-830-3366,"Lil Wildcat Education Center, Inc., IA","Lil Wildcat Education Center, Inc., IA","Glidden, Iowa | Education: Lower Education | sites.google.com/view/lilwildcateducation"
(402) 477-9184,"Lincoln/Lancaster County Habitat for Humanity, NE","Lincoln/Lancaster County Habitat for Humanity, NE","Lincoln, Nebraska | Business Services | www.lincolnhabitat.com"
(605) 455-6150,"Little Wound School, SD","Little Wound School, SD","Kyle, South Dakota | Education: Lower Education | littlewound.us"
+1.308.483.5353,"Lodgepole Village, NE","Lodgepole Village, NE","Lodgepole, Nebraska | Government: Local | www.lodgepolene.com"
(605) 867-6875,"Loneman Day School, SD","Loneman Day School, SD","Oglala, South Dakota | Education: Lower Education | www.isnawica.org"
3195233372,Louisa County,Louisa County,"Wapello, Iowa | Government: Local | https://louisacountyia.gov/"
+1.402.564.3171,"Loup River Public Power District, NE","Loup River Public Power District, NE","Columbus, Nebraska | Utilities | www.loup.com"
(605) 473-0215,"Lower Brule Schools, SD","Lower Brule Schools, SD","Lower Brule, South Dakota | Education: Lower Education | lowerbruleschools.org"
+1.402.443.4675,"Lower Platte North Natural Resources District, NE","Lower Platte North Natural Resources District, NE","Wahoo, Nebraska | Government | www.lpnnrd.org"
+16054283197,"Lutheran Church of Dell Rapids, SD","Lutheran Church of Dell Rapids, SD","Dell Rapids, South Dakota | Education | lcdr-sd.org"
13083853900,Lutheran Highschool Association of Central Nebraska,Lutheran Highschool Association of Central Nebraska,"Grand Island, Nebraska | Education | heartlandlutheran.org"
+1.605.869.2247,"Lyman County, SD","Lyman County, SD","Kennebec, South Dakota | Government: Local | www.lymancounty.org/"
605-869-2213,"Lyman School District, SD","Lyman School District, SD","Presho, South Dakota | Education: Lower Education | www.lyman.k12.sd.us"
17124723755,"LYON & SIOUX RURAL WATER SYSTEM, INC.","LYON & SIOUX RURAL WATER SYSTEM, INC.","Rock Rapids, Iowa | Government: Local | lyonsiouxruralwater.com"
+17124723713,Lyon County Courthouse,Lyon County Courthouse,"Rock Rapids, Iowa | Government | lyoncountyia.com"
712-472-2521,"Lyon County Sheriff's Office, IA","Lyon County Sheriff's Office, IA","Rock Rapids, Iowa | Legal | www.co.lyon.ia.us"
+1.402.687.2485,"Lyons, NE","Lyons, NE","Lyons, Nebraska | Government: Local | www.cityoflyons.org"
605-256-7700,"Madison Central School District, SD","Madison Central School District, SD","Madison, South Dakota | Education: Lower Education | www.madison.k12.sd.us/"
6052567500,"Madison, SD","Madison, SD","Madison, South Dakota | Government: Local | https://sd-madison.civicplus.com/"
+1.515.795.3930,"Madrid, IA","Madrid, IA","Madrid, Iowa | Government: Local | www.madridiowa.org"
6058671105,Mahpiya Luta - Red Cloud Schools,Mahpiya Luta - Red Cloud Schools,"Pine Ridge, South Dakota | Education | https://mahpiyaluta.org/"
17126555437,Manning,Manning,"Manning, Iowa | Government: Local | https://www.manningia.com/"
+1.712.881.2764,"Mapleton, IA","Mapleton, IA","Mapleton, Iowa | Government: Local | www.mapleton.com"
6054266707,"Marcus P. Beebe Memorial Library, SD","Marcus P. Beebe Memorial Library, SD","Ipswich, South Dakota | Education | www.ipswichsd.yoursdlibrary.org"
(402) 934-1330,"MARIAN HIGH SCHOOL, NE","MARIAN HIGH SCHOOL, NE","OMAHA, Nebraska | Education: Lower Education | www.marianhs.org"
+1.605.384.5432,"Marty Indian School Board, Inc., SD","Marty Indian School Board, Inc., SD","Marty, South Dakota | Education: Lower Education | www.martyindian.k12.sd.us"
+1.605.425.2264,McCook Central School District (SD) - ISD #43-7,McCook Central School District (SD) - ISD #43-7,"Salem, South Dakota | Education: Lower Education | www.mccookcentral.k12.sd.us"
+1.605.425.2731,"Mccook County, SD","Mccook County, SD","Salem, South Dakota | Government: Local | www.mccookcountysd.com"
13083452500,Mccook Public Power District,Mccook Public Power District,"Mc Cook, Nebraska | Utilities | mppdonline.com"
+1.563.873.3795,"Mcgregor, IA","Mcgregor, IA","Mc Gregor, Iowa | Government: Local | www.mcgregor-texas.com"
+1.605.273.4227,"Mcintosh School District 15-1, SD","Mcintosh School District 15-1, SD","Mcintosh, South Dakota | Education: Lower Education | www.mcintosh.k12.sd.us/"
(605) 823-4484,"McLaughlin School District, SD","McLaughlin School District, SD","MC LAUGHLIN, South Dakota | Education: Lower Education | www.mclaughlin.k12.sd.us"
+1.605.823.4419,"Mclaughlin, SD","Mclaughlin, SD","Mc Laughlin, South Dakota | Government: Local"
+1.402.624.2495,"Mead Village, NE","Mead Village, NE","Mead, Nebraska | Government: Local | www.meadnebraska.net"
605 342-8265,"Memorial Christian School, SD","Memorial Christian School, SD","Rapid City, South Dakota | Education: Lower Education | www.babyentzminger.com"
605-387-5161,"Menno Public School, SD","Menno Public School, SD","Menno, South Dakota | Education: Lower Education | www.menno.k12.sd.us"
(402) 941-6005,Midland Lutheran College,Midland Lutheran College,"Fremont, Nebraska | Education: Higher Education | www.lutherancolleges.org"
402-941-6204,Midland University,Midland University,"Fremont, Nebraska | Education: Higher Education | www.midlandu.edu"
(605) 432-5579,"Milbank School District, SD","Milbank School District, SD","Milbank, South Dakota | Education: Lower Education | www.milbank.k12.sd.us"
605-853-2455,"Miller School District, SD","Miller School District, SD","Miller, South Dakota | Education: Lower Education | www.miller.k12.sd.us"
+1.712.527.4166,"MILLS COUNTY, IA","MILLS COUNTY, IA","GLENWOOD, Iowa | Government: Local | www.millscoia.us"
+1.605.772.4671,"Miner County, SD","Miner County, SD","Howard, South Dakota | Government: Local | www.minercountysd.org"
+1.308.232.4553,"Mirage Flats Irrigation District, NE","Mirage Flats Irrigation District, NE","Hay Springs, Nebraska | Government | www.nfid.org"
+1.712.642.2945,"Missouri Valley, IA","Missouri Valley, IA","Missouri Valley, Iowa | Government: Local | www.cityofmissourivalley.com"
(641) 732-6000,"Mitchell County Regional Health Ctr., IA","Mitchell County Regional Health Ctr., IA","Osage, Iowa | Hospitals | www.mcrhc.com"
(800) 684-1969,Mitchell Technical College,Mitchell Technical College,"Mitchell, South Dakota | Education: Higher Education | www.mitchelltech.edu"
+1.605.845.3360,"Mobridge-Pollock 62-6 School District, SD","Mobridge-Pollock 62-6 School District, SD","Mobridge, South Dakota | Education: Lower Education | www.mobridge-pollock.k12.sd.us"
(712) 737-4873,"MOC-Floyd Valley CSD, IA","MOC-Floyd Valley CSD, IA","Orange City, Iowa | Education: Lower Education | www.moc-fv.k12.ia.us/"
+1.563.539.2355,"Monona, IA","Monona, IA","Monona, Iowa | Government: Local | www.mononaiowa.com/"
6412085410,Monroe County Sheriffs Office,Monroe County Sheriffs Office,"Albia, Iowa | Other | monroecounty.iowa.gov/offices/sheriffs-office/"
+13082620408,Morill County Sheriffs Department,Morill County Sheriffs Department,"Bridgeport, Nebraska | Government | www.morrillcountyne.gov/sheriff.html"
+1.308.247.2312,"Morrill Village, NE","Morrill Village, NE","Morrill, Nebraska | Government: Local | www.villageofmorrill.com"
+1.605.668.1011,"Mount Marty College, SD","Mount Marty College, SD","Yankton, South Dakota | Education: Higher Education | https://www.mountmarty.edu/"
+1.308.546.2625,"Mullen Village, NE","Mullen Village, NE","Mullen, Nebraska | Government: Local | www.mullennebraska.org"
712-322-1491,"Municipal Housing Agency, IA","Municipal Housing Agency, IA","Council Bluffs, Iowa | Consulting | www.mhacb.org"
5152621300,"Municipal Supply, IA","Municipal Supply, IA","Des Moines, Iowa | Manufacturing | www.munsup.com"
+1.712.764.7001,"Museum of Danish America, IA","Museum of Danish America, IA","Elk Horn, Iowa | Education | www.DanishMuseum.org"
+1.402.421.7410,"Myotherapy Institute, NE","Myotherapy Institute, NE","Lincoln, Nebraska | Education: Higher Education | www.myotherapy.edu"
+1.308.536.2331,"Nance County, NE","Nance County, NE","Fullerton, Nebraska | Government: Local | www.co.nance.ne.us/"
(402) 434-5685,Nebraska Association-County Officials,Nebraska Association-County Officials,"Lincoln, Nebraska | Consulting | nebraskacounties.org"
+13089463836,"Nebraska Christian Schools, NE","Nebraska Christian Schools, NE","Central City, Nebraska | Education: Lower Education | nebraskachristian.org"
3083675222,Nebraska College of Technical Agriculture,Nebraska College of Technical Agriculture,"Curtis, Nebraska | Education: Higher Education | https://ncta.unl.edu/"
(844) 440-6422,Nebraska Indian Community College,Nebraska Indian Community College,"So. Sioux City, Nebraska | Education: Higher Education | www.thenicc.edu"
14027429225,Nebraska Intergovernmental Risk Management Association,Nebraska Intergovernmental Risk Management Association,"Lincoln, Nebraska | Government: Regional | nirma.info"
+1.402.354.7000,Nebraska Methodist College of Nursing and Allied Health,Nebraska Methodist College of Nursing and Allied Health,"Omaha, Nebraska | Education: Higher Education | www.methodistcollege.edu"
+1.402.896.0454,"Nebraska Safety Council, NE","Nebraska Safety Council, NE","Omaha, Nebraska | Government | www.safenebraska.org"
+1.402.887.4066,"Neligh, NE","Neligh, NE","Neligh, Nebraska | Government: Local | www.neligh.org/"
+14029911444,"Nelson Mandela Elementary School, Inc., NE","Nelson Mandela Elementary School, Inc., NE","Omaha, Nebraska | Education: Lower Education | nelsonmandelaelementary.org"
+1.402.225.4401,"Nelson, NE","Nelson, NE","Nelson, Nebraska | Government: Local | www.cityofnelson.com"
6413942189,New Hampton,New Hampton,"New Hampton, Iowa | Government: Local | www.newhamptoniowa.com/"
712-792-9266,New Opportunities,New Opportunities,"Carroll, Iowa | Education | www.newopp.org"
605-456-2393,"Newell School, SD","Newell School, SD","Newell, South Dakota | Education: Lower Education | www.k1.sd.us"
+14026528356,"North Bend Public Library, NE","North Bend Public Library, NE","North Bend, Nebraska | Government: Local | libraries.ne.gov/northbend/"
14023585112,North Central Public Power District,North Central Public Power District,"Creighton, Nebraska | Utilities | ncppd.com"
+1.641.732.5383,"North Iowa Community Action Organization, IA","North Iowa Community Action Organization, IA","Mason City, Iowa | Business Services | www.nicao-online.org"
+1.308.632.2749,"North Platte Natural Resources District, NE","North Platte Natural Resources District, NE","Scottsbluff, Nebraska | Government | www.npnrd.org"
+1.308.535.8036,"North Platte Public Library, NE","North Platte Public Library, NE","North Platte, Nebraska | Education | www.npplfoundation.org"
+1.605.232.9097,"North Sioux, SD","North Sioux, SD","North Sioux City, South Dakota | Government: Local | northsiouxcity-sd.gov/"
+1.605.887.3467,"Northwestern Area School District 56-7, SD","Northwestern Area School District 56-7, SD","Mellette, South Dakota | Education: Lower Education | www.northwestern.k12.sd.us"
+1.641.324.1075,"Northwood, IA","Northwood, IA","Northwood, Iowa | Government: Local | www.northwoodia.org"
+1.563.547.4513,"Notre Dame Catholic School, IA","Notre Dame Catholic School, IA","Cresco, Iowa | Education | sites.google.com/nd.pvt.k12.ia.us/ndschool/home"
17129571313,O'Brien County,O'Brien County,"Primghar, Iowa | Government: Local | obriencounty.com"
+1.605.535.2631,"Oelrichs School District 23-3, SD","Oelrichs School District 23-3, SD","Oelrichs, South Dakota | Education: Lower Education | www.oelrichs.k12.sd.us"
3082846519,Ogallala,Ogallala,"Ogallala, Nebraska | Government: Local | https://www.ogallala-ne.gov/"
+1.515.275.2917,"Ogden, IA","Ogden, IA","Ogden, Iowa | Government: Local | ogdeniowa.org/"
+1.605.455.6000,Oglala Lakota College,Oglala Lakota College,"Kyle, South Dakota | Education: Higher Education | www.olc.edu"
605-454-2454,OGLALA LAKOTA COUNTY SCHOOL DISTRICT (SD) ISD- 65-1,OGLALA LAKOTA COUNTY SCHOOL DISTRICT (SD) ISD- 65-1,"BATESLAND, South Dakota | Education: Lower Education | www.k12.sd.us"
+1.605.482.8244,"Oldham - Ramona School District 39-5, SD","Oldham - Ramona School District 39-5, SD","Ramona, South Dakota | Education: Lower Education | www.oldhamramona.k12.sd.us"
+1.402.731.3033,"Omaha Catholic School Consortium, NE","Omaha Catholic School Consortium, NE","Omaha, Nebraska | Education: Lower Education | www.omahacsc.org"
+1.402.444.6900,Omaha Housing Authority,Omaha Housing Authority,"Omaha, Nebraska | Government | www.ohauthority.org"
14024444589,Omaha Public Library Foundation,Omaha Public Library Foundation,"Omaha, Nebraska | Government: Local | omahalibraryfoundation.org"
(402) 451-5234,"Omaha Street School, NE","Omaha Street School, NE","Omaha, Nebraska | Education: Lower Education | www.omahastreetschool.org"
+17127074302,"Orange City Public Library,IA","Orange City Public Library,IA","Orange City, Iowa | Education | orangecityiowa.com"
6417323709,Osage,Osage,"Osage, Iowa | Government: Local | https://www.osageia.org/"
+1.641.832.3731,"Osage Municipal Utilities, IA","Osage Municipal Utilities, IA","Osage, Iowa | Utilities | www.osage.net"
+1.402.797.7700,"Our Lady of Guadalupe Seminary, NE","Our Lady of Guadalupe Seminary, NE","denton, Nebraska | Education: Lower Education | www.fsspolgs.org/"
7125423219,Page County,Page County,"Clarinda, Iowa | Government: Local | https://pagecounty.iowa.gov/"
+1.641.755.2164,"Panora, IA","Panora, IA","Panora, Iowa | Government: Local | www.cityofpanora.com"
605-297-3456,"Parker School, SD","Parker School, SD","Parker, South Dakota | Education: Lower Education | www.deuel.k12.sd.us"
+1.605.297.4453,"Parker, SD","Parker, SD","Parker, South Dakota | Government: Local | www.parkersd.org"
605-928-3368,"Parkston School District, SD","Parkston School District, SD","Parkston, South Dakota | Education: Lower Education | www.parkston.k12.sd.us"
+1.308.623.1022,"Pathfinder Irrigation District, NE","Pathfinder Irrigation District, NE","Mitchell, Nebraska | Government | www.pathfinderirrigation.com"
+1.712.949.3428,"Paullina, IA","Paullina, IA","Paullina, Iowa | Government: Local | www.paullina.net"
+1.308.239.2376,"Paxton Village, NE","Paxton Village, NE","Paxton, Nebraska | Government: Local"
(262) 673-3811,"Peace Lutheran Church & School, IA","Peace Lutheran Church & School, IA","Hartford, Iowa | Education | www.peacehartford.org/"
+1.563.556.8755,"Peosta, IA","Peosta, IA","Peosta, Iowa | Government: Local | www.cityofpeosta.org"
3083527510,"Perkins County Sheriff's Office, NE","Perkins County Sheriff's Office, NE","Grant, Nebraska | Government | www.perkinscoso.com"
15154654601,Perry,Perry,"Perry, Iowa | Government: Local | perryia.org"
3089952250,"Phelps County, NE","Phelps County, NE","Holdrege, Nebraska | Government: Local | www.holdrege.org"
402-329-4225,"Pierce County Court House, NE","Pierce County Court House, NE","Pierce, Nebraska | Government | www.ptcnet.net"
+1.605.942.7743,Plankinton School District (SD) ISD  1-1,Plankinton School District (SD) ISD  1-1,"Plankinton, South Dakota | Education: Lower Education | www.plankinton.k12.sd.us"
+1.605.942.7600,"Plankinton, SD","Plankinton, SD","Plankinton, South Dakota | Government: Local | www.plankinton.com"
+1.605.337.3391,"Platte - Geddes School District 11-5, SD","Platte - Geddes School District 11-5, SD","Platte, South Dakota | Education: Lower Education | www.platte-geddes.k12.sd.us/"
5158483316,"Pleasantville CSD, IA","Pleasantville CSD, IA","Pleasantville, Iowa | Education | https://www.pvillecsd.org/"
+17123353361,Pocahontas County - WV,Pocahontas County - WV,"Pocahontas, Iowa | Government: Local | www.pocahontascountywv.com"
+1.712.335.3536,"Pocahontas, IA","Pocahontas, IA","Pocahontas, Iowa | Government: Local | www.pocahontasiowa.com/"
(515) 984-6119,"Polk City Community Library, IA","Polk City Community Library, IA","Polk City, Iowa | Education | www.polkcitylibrary.org"
515-208-6065,"Polk City Iowa, IA","Polk City Iowa, IA","Polk City, Iowa | Government: Local | www.polkcity.org"
14027644381,Polk County Rural Public Power District,Polk County Rural Public Power District,"Stromsburg, Nebraska | Utilities | pcrppd.com"
5152766083,"Polk County Schools Employee Credit Union, IA","Polk County Schools Employee Credit Union, IA","Urbandale, Iowa | Banking | www.polkcountyschoolscu.com"
+14027472211,"Polk County, NE","Polk County, NE","Osceola, Nebraska | Government: Local | polkcounty.nebraska.gov/"
+1.402.765.6471,"Polk Village, NE","Polk Village, NE","Polk, Nebraska | Government: Local"
+1.402.843.5325,"Pope John Xxiii Central Cath Hs, NE","Pope John Xxiii Central Cath Hs, NE","Elgin, Nebraska | Education: Lower Education | www.pjcrusaders.org"
+1.563.864.7454,"Postville, IA","Postville, IA","Postville, Iowa | Government: Local | www.cityofpostville.com"
605-765-9518,"Potter County Free Public Library, SD","Potter County Free Public Library, SD","Gettysburg, South Dakota | Education | www.pottercountylibrary.blogspot.com"
402-578-9076,"Prairie Queen LLC, NE","Prairie Queen LLC, NE","omaha, Nebraska | Education: Lower Education | n/a"
(402) 817-2220,"Premier Psychiatric Group, NE","Premier Psychiatric Group, NE","Lincoln, Nebraska | Healthcare | www.premierpsych.com"
+1.605.225.0420,Presentation Sisters,Presentation Sisters,"Aberdeen, South Dakota | Education: Higher Education | www.presentationsisters.org"
+1.712.957.2430,"Primghar, IA","Primghar, IA","Primghar, Iowa | Government: Local | www.primghariowa.org"
+1.308.452.3273,"Ravenna, NE","Ravenna, NE","Ravenna, Nebraska | Government: Local | www.ravennanebraska.net"
+1.712.623.5471,"Red Oak Community School District Foundation, Inc.","Red Oak Community School District Foundation, Inc.","Red Oak, Iowa | Education: Lower Education | www.redoakschooldistrict.com"
+13083451790,"Red Willow County Sheriff Department, NE","Red Willow County Sheriff Department, NE","McCook, Nebraska | Government | www.rwsheriff.org/"
+1.605.472.4520,"Redfield School District 56-4, SD","Redfield School District 56-4, SD","Redfield, South Dakota | Education: Lower Education | www.redfield.k12.sd.us"
+1.712.262.7920,"Regional Transit Authority, IA","Regional Transit Authority, IA","Spencer, Iowa | Government | www.nwiarides.org"
+1.319.788.6404,"Reinbeck, IA","Reinbeck, IA","Reinbeck, Iowa | Government: Local | www.reinbeck.org"
+1.712.786.2655,"Remsen, IA","Remsen, IA","Remsen, Iowa | Government: Local | www.remseniowa.org"
5633193430,"Ridgecrest Village, IA","Ridgecrest Village, IA","Davenport, Iowa | Government | www.ridgecrestvillage.org"
+1.319.648.3501,"Riverside, IA","Riverside, IA","Riverside, Iowa | Government: Local | www.cityofriversideiowa.com"
+1.319.395.7174,"Robins, IA","Robins, IA","Robins, Iowa | Government: Local | www.robinsfire.com"
7124722756,Rock Rapids,Rock Rapids,"Rock Rapids, Iowa | Government: Local | www.rockrapids.com"
+1.712.297.7041,"Rockwell City, IA","Rockwell City, IA","Rockwell City, Iowa | Government: Local | www.rockwellcity.com"
(605) 586-4352,RUTLAND SCHOOL DISTRICT (SD) - ISD 39-4,RUTLAND SCHOOL DISTRICT (SD) - ISD 39-4,"RUTLAND, South Dakota | Education: Lower Education | www.rutland.k12.sd.us"
+1.712.662.7772,"Sac City, IA","Sac City, IA","Sac City, Iowa | Government: Local | www.cityofsaccity.org"
7126627310,Sac County,Sac County,"Sac City, Iowa | Government: Local | https://www.saccountyiowa.gov/"
(563) 652-3743,Sacred Heart Parish,Sacred Heart Parish,"West Des Moines, Iowa | Education | www.sacredheartwdm.org/"
402-920-2539,"Saint (St.)  Francis School, NE","Saint (St.)  Francis School, NE","Humphrey, Nebraska | Education: Lower Education | www.esu7.org"
+14028782577,"Saint (St.) Augustines Indian Mission School, NE","Saint (St.) Augustines Indian Mission School, NE","Winnebago, Nebraska | Education: Lower Education | staugustinemission.org"
+1.402.678.2282,"Saint (St.) Edward Public Schools, NE","Saint (St.) Edward Public Schools, NE","St Edward, Nebraska | Education: Lower Education | sites.esu7.org"
4029371385,"Saint (St.) John Lutheran School, NE","Saint (St.) John Lutheran School, NE","Seward, Nebraska | Education: Lower Education | www.cune.org"
(319) 334-7173,"Saint (St.) Johns School, IA","Saint (St.) Johns School, IA","Independence, Iowa | Education: Lower Education | www.arch.pvt.k12.ia.us"
